transaction_id,source_account_id,destination_account_id,transaction_timestamp,transaction_type,amount,channel,country,is_suspicious
TXN_0000001,ACC_000760,ACC_000282,2026-03-12 07:39:02.755011,PAYMENT,14706.68,ATM,USA,0
TXN_0000002,ACC_000759,ACC_000914,2026-07-16 20:44:25.755011,TRANSFER,6864.26,BRANCH,India,0
TXN_0000003,ACC_000239,ACC_000518,2026-04-18 22:01:08.755011,TRANSFER,17627.69,ATM,Hong Kong,0
TXN_0000004,ACC_000430,ACC_000226,2026-06-21 06:42:12.755011,DEPOSIT,50394.42,MOBILE,India,0
TXN_0000005,ACC_000715,ACC_000433,2026-04-07 11:09:30.755011,WITHDRAWAL,6118.16,MOBILE,USA,0
TXN_0000006,ACC_000345,ACC_000105,2026-08-02 17:13:57.755011,TRANSFER,6118.28,BRANCH,India,0
TXN_0000007,ACC_000619,ACC_000271,2026-05-13 06:02:31.755011,TRANSFER,53909.14,BRANCH,UAE,0
TXN_0000008,ACC_000388,ACC_000081,2026-09-02 13:18:00.755011,WITHDRAWAL,20351.74,MOBILE,UAE,0
TXN_0000009,ACC_000047,ACC_000678,2026-03-20 23:14:33.755011,PAYMENT,4612.99,MOBILE,India,0
TXN_0000010,ACC_000104,ACC_000390,2026-08-22 17:11:55.755011,WITHDRAWAL,15538.44,BRANCH,Hong Kong,0
TXN_0000011,ACC_000380,ACC_000364,2026-04-08 01:06:54.755011,PAYMENT,4646.64,MOBILE,Hong Kong,0
TXN_0000012,ACC_000074,ACC_000624,2026-07-11 07:09:21.755011,PAYMENT,4633.76,ATM,USA,0
TXN_0000013,ACC_000948,ACC_000656,2026-04-28 21:08:24.755011,PAYMENT,10833.03,MOBILE,India,0
TXN_0000014,ACC_000825,ACC_000324,2026-03-13 16:41:24.755011,DEPOSIT,815.71,MOBILE,India,0
TXN_0000015,ACC_000898,ACC_000736,2026-06-25 14:20:34.755011,WITHDRAWAL,1022.59,ATM,Hong Kong,0
TXN_0000016,ACC_000937,ACC_000659,2026-08-26 06:00:52.755011,DEPOSIT,4126.79,ATM,UK,0
TXN_0000017,ACC_000575,ACC_000552,2026-07-30 02:59:33.755011,WITHDRAWAL,2403.31,BRANCH,UAE,0
TXN_0000018,ACC_000142,ACC_000522,2026-04-19 01:12:03.755011,DEPOSIT,11814.66,ONLINE,India,0
TXN_0000019,ACC_000643,ACC_000164,2026-04-06 03:23:03.755011,DEPOSIT,2725.4,ONLINE,Singapore,0
TXN_0000020,ACC_000542,ACC_000258,2026-06-06 08:21:46.755011,TRANSFER,1488.07,ONLINE,Hong Kong,0
TXN_0000021,ACC_000274,ACC_000788,2026-07-31 06:26:11.755011,WITHDRAWAL,47041.17,ONLINE,UK,0
TXN_0000022,ACC_000004,ACC_000977,2026-06-03 13:35:52.755011,WITHDRAWAL,6179.97,ATM,UAE,0
TXN_0000023,ACC_000641,ACC_000306,2026-08-23 12:00:10.755011,PAYMENT,8787.05,ATM,UK,0
TXN_0000024,ACC_000977,ACC_000798,2026-06-20 04:46:50.755011,TRANSFER,1466.01,MOBILE,Singapore,0
TXN_0000025,ACC_000900,ACC_000852,2026-05-16 22:42:18.755011,WITHDRAWAL,4216.42,ATM,India,0
TXN_0000026,ACC_000970,ACC_000081,2026-06-25 15:10:01.755011,TRANSFER,9256.74,BRANCH,India,0
TXN_0000027,ACC_000132,ACC_000676,2026-06-18 21:40:58.755011,DEPOSIT,33570.73,ATM,UK,1
TXN_0000028,ACC_000434,ACC_000988,2026-07-03 06:01:29.755011,PAYMENT,12718.81,ATM,Hong Kong,0
TXN_0000029,ACC_000666,ACC_000383,2026-07-15 21:22:49.755011,DEPOSIT,3941.17,BRANCH,India,0
TXN_0000030,ACC_000347,ACC_000022,2026-03-19 21:28:28.755011,PAYMENT,5709.96,ATM,India,0
TXN_0000031,ACC_000061,ACC_000235,2026-07-08 00:14:42.755011,TRANSFER,3936.13,ONLINE,UK,0
TXN_0000032,ACC_000286,ACC_000686,2026-04-22 16:16:27.755011,DEPOSIT,74812.02,ATM,UAE,0
TXN_0000033,ACC_000585,ACC_000591,2026-08-25 19:17:43.755011,DEPOSIT,7972.9,ATM,Singapore,0
TXN_0000034,ACC_000097,ACC_000100,2026-04-13 10:28:00.755011,DEPOSIT,2277.3,MOBILE,Singapore,0
TXN_0000035,ACC_000747,ACC_000056,2026-08-22 04:51:47.755011,TRANSFER,21743.15,ONLINE,Singapore,0
TXN_0000036,ACC_000883,ACC_000112,2026-08-09 22:07:25.755011,PAYMENT,1872.42,ATM,USA,0
TXN_0000037,ACC_000433,ACC_000188,2026-04-03 16:23:20.755011,WITHDRAWAL,10411.19,BRANCH,USA,0
TXN_0000038,ACC_000454,ACC_000828,2026-03-22 02:24:40.755011,TRANSFER,771.55,ONLINE,Hong Kong,0
TXN_0000039,ACC_000096,ACC_000949,2026-08-16 19:15:47.755011,PAYMENT,8595.0,ATM,Singapore,1
TXN_0000040,ACC_000886,ACC_000411,2026-04-17 23:13:36.755011,TRANSFER,10262.31,ATM,Singapore,0
TXN_0000041,ACC_000272,ACC_000949,2026-05-22 06:35:22.755011,DEPOSIT,19656.43,MOBILE,Singapore,0
TXN_0000042,ACC_000803,ACC_000570,2026-07-27 07:29:37.755011,DEPOSIT,9953.13,ATM,USA,0
TXN_0000043,ACC_000594,ACC_000754,2026-03-18 19:38:38.755011,TRANSFER,7053.1,MOBILE,India,0
TXN_0000044,ACC_000515,ACC_000942,2026-06-08 01:05:15.755011,PAYMENT,5645.85,ONLINE,UAE,0
TXN_0000045,ACC_000071,ACC_000610,2026-04-12 13:05:57.755011,TRANSFER,1374.4,ATM,Singapore,0
TXN_0000046,ACC_000584,ACC_000253,2026-08-27 08:07:54.755011,TRANSFER,3415.87,ONLINE,Singapore,0
TXN_0000047,ACC_000536,ACC_000324,2026-06-25 05:14:26.755011,WITHDRAWAL,4662.16,ATM,Hong Kong,0
TXN_0000048,ACC_000272,ACC_000406,2026-04-22 19:26:57.755011,PAYMENT,28811.98,MOBILE,Singapore,0
TXN_0000049,ACC_000959,ACC_000075,2026-07-31 11:02:04.755011,TRANSFER,12238.5,BRANCH,UAE,0
TXN_0000050,ACC_000219,ACC_000519,2026-03-26 21:02:19.755011,WITHDRAWAL,5957.84,ATM,UK,1
TXN_0000051,ACC_000251,ACC_000379,2026-08-25 04:47:18.755011,WITHDRAWAL,11954.95,ATM,Singapore,0
TXN_0000052,ACC_000310,ACC_000627,2026-07-22 01:49:33.755011,TRANSFER,5104.62,MOBILE,Hong Kong,0
TXN_0000053,ACC_000138,ACC_000271,2026-08-24 23:27:37.755011,TRANSFER,3596.42,ONLINE,Hong Kong,0
TXN_0000054,ACC_000289,ACC_000620,2026-04-29 08:19:36.755011,PAYMENT,16882.14,MOBILE,USA,0
TXN_0000055,ACC_000271,ACC_000518,2026-08-20 01:57:14.755011,DEPOSIT,27922.82,MOBILE,India,0
TXN_0000056,ACC_000850,ACC_000284,2026-05-28 17:05:54.755011,TRANSFER,24773.66,ONLINE,UK,0
TXN_0000057,ACC_000269,ACC_000166,2026-07-09 04:15:20.755011,DEPOSIT,2959.98,BRANCH,UAE,0
